Length,Average Distance,Adjusted Value,Number of Tests
100,0.266534,0.046534,"10,000"
150,0.259359306,0.039359306,"10,000"
200,0.2561385,0.0361385,"10,000"
250,0.2533316,0.0333316,"10,000"
300,0.251741333,0.031741333,"10,000"
350,0.2501968,0.0301968,"10,000"
400,0.249278,0.029278,"10,000"
450,0.24761222,0.02761222,"10,000"
500,0.2460004,0.0260004,"10,000"
550,0.245814545,0.025814545,"10,000"
600,0.245945,0.025945,"10,000"
650,0.2449550769,0.0249550769,"10,000"
700,0.24457985714,0.02457985714,"10,000"
750,0.2442496,0.0242496,"10,000"
800,0.243528125,0.023528125,"10,000"
850,0.243638235294,0.023638235294,"10,000"
900,0.243222333,0.023222333,"10,000"
950,0.2425931578947,0.0225931578947,"10,000"
1000,0.2419354,0.0219354,"10,000"
1100,0.241415545,0.021415545,"10,000"
1200,0.241258417,0.021258417,"10,000"
1300,0.240901538,0.020901538,"10,000"
1400,0.240880786,0.020880786,"10,000"
1500,0.239857667,0.019857667,"10,000"
1600,0.240097063,0.020097063,"10,000"
1700,0.239656529,0.019656529,"10,000"
1800,0.239545167,0.019545167,"10,000"
1900,0.240030263,0.020030263,"10,000"
2000,0.2389097,0.0189097,"10,000"
2100,,,"10,000"
2200,,,"10,000"
2300,,,"10,000"
2400,,,"10,000"
2500,,,"10,000"
2600,,,"10,000"
2700,,,"10,000"
2800,,,"10,000"
2900,,,"10,000"
3000,0.238390033,0.018390033,"10,000"
3100,0.237290194,0.017290194,"10,000"
3200,0.237387563,0.017387563,"10,000"
3300,0.237609576,0.017609576,"10,000"
3400,,,"10,000"
3500,,,"10,000"
3600,,,"10,000"
3700,,,"10,000"
3800,,,"10,000"
3900,,,"10,000"
4000,0.2369051,0.0169051,"5,000"
4100,0.237506829,0.017506829,"5,000"
4200,0.237212619,0.017212619,"5,000"
4300,,,"5,000"
4400,,,"5,000"
4500,,,"5,000"
4600,,,"5,000"
4700,,,"5,000"
4800,,,"5,000"
4900,,,"5,000"
5000,0.23642216,0.01642216,"5,000"
5100,,,
5200,,,
5300,,,
5400,,,
5500,,,
5600,,,
5700,,,
5800,,,
5900,,,
6000,,,
6100,,,
6200,,,
6300,,,
6400,,,
6500,,,
6600,,,
6700,,,
6800,,,
6900,,,
7000,,,
7100,,,
7200,,,
7300,,,
7400,,,
7500,,,
7600,,,
7700,,,
7800,,,
7900,,,
8000,,,
8100,,,
8200,,,
8300,,,
8400,,,
8500,,,
8600,,,
8700,,,
8800,,,
8900,,,
9000,,,
9100,,,
9200,,,
9300,,,
9400,,,
9500,,,
9600,,,
9700,,,
9800,,,
9900,,,
10000,0.23549555,0.01549555,"2,000"